text,label,label_text
"If I could give a 0 star, I would.  This tribe has no respect for those who don't smoke.  There is not ONE single non-smoking area in the whole place....not even in their Cholla fine dining restaurant (see separate review) which is a definite 4 star.\n\nNever again!",0,negative
Looked great online and decided to go in!! My friends and I were looking for somewhere fun and relaxing to go... Got to say I was pretty disappointed! Coals took forever and the sheesha was low quality! Went from fresh thick smoke to burnt in less then 5 minutes! Won't be coming here again!,0,negative
We went in for the steak and shrimp advertisement that was posted outside but it was so smoky we couldn't even go in and stay. We went upstairs to the buffet it looked ok not very many selections though so after dealing with the smoke and the not so plentiful Buffet we decided to take off,0,negative
"This place is pretty trashy, I'd rather smoke my hookah at home.",0,negative
"NO VAPE, EVEN OUTSIDE !\n\nI am no \""""power vaper\"""", I just enjoy a little nicotine with my after work beverage.  Pretty good Belgian tripel, really bad policy decision.  We won't be back.",0,negative
"Went to check in to our non-smoking room, when we got to the desk we found out they put us in a smoking room. They said they could put us in a handicap accessible room. It was unclean and the entire place smelled like stale cigarettes.",0,negative
"I love Caesar's Palace and the Forum Shops. I always stay here when i'm in Vegas, but I am still waiting for them to ban smoking indoors. It's ridiculous that in 2014 you can still smoke indoors. I hate that when I come to EVERY casino I smell like a dirty ashtray and my sinuses swell and I feel like shit. Seriously, why people???? Ban smoking and you get 5*!",0,negative
If you hate the smell of cigarette and incense don't stay here. WiFi is not free ($11.99) at all as advertised.  The room keys does'n't work most of the time and I had mine replaced twice today. It is really  frustrating and I will never stay here again.\nOnly nice thing to say about this place is the workers are nice and helpful but otherwise go somewhere else if you are concern about your health.,0,negative
"Ole Smokehouse, closed with a big For Lease sign on the building. Rat's ass.",1,positive
Ventilation is horrible. I feel like I smoked 3 packs of cigarettes just walking across the casino. Need major upgrade.,0,negative
Great place to get your smog check done. I was there during lunch time. From start to finish it took 10 min. There is a coupon online from their website. Make sure you present the coupon before the smog or they may not honor it. Professional staff as well. I will go back there from now on.,1,positive
After a year of weekly coffee dates with my husband and meeting friends and clients here we refuse to go back because of a group of business owners from a local shop who seem to just hang out there all day and smoke within the legal boundaries and they don't seem to be able to control these repeat offenders. If they can't control these repeat offenders we won't be back. Sad because we really liked this store.,0,negative
There was cigarette smoke coming out of the ventilation system in my non-smoking room the entire stay.  Gross!  Don't stay here.,0,negative
ONLY COME HERE STRICTLY FOR PAGEANTS--\n\nI requested a NON smoking room but they placed me in building 11 which was a SMOKING room-- the manager is an asshole and wouldnt move me to a different building because he was FULL. I have kids-- in smoking rooms-- WOW!\n\nWish our pageants werent held in this hotel-- I hate this place.,0,negative
They had a ladies night here a few weeks back. A male review. The facility is old and needs to be re done. \nLike the first reviewer it definitely has a smell. I'm not sure of balls and ashtray but its something alright. I'll pass on the next event they offer here.,0,negative
Walked in...overwhelmed with cigarette smoke...walked out,0,negative
It's great if you want to smell like an ashtray after you leave. Is that even legal to smoke where food if served? Disgusting!,0,negative
Stay away!  My room reeked of cigarette smoke even though it was supposed to be non-smoking.  I couldn't sleep there but was told no other rooms available.  Guy at front desk was kind enough to cancel my room so I could go elsewhere.  But days later management charged me for room anyway!  Stay away!,0,negative
"If you don't mind in eating a room that smells like an ashtray, you'll love it.  The kitchen fans pull the cigarette smoke thru the space from the casino floor.  After a meal you smell like you smoked a pack",0,negative
hookah was always harsh the moment it was brought to our table. didn't have a good time here. the place seems to advertise that they specialize in hookah but it only looks like a side feature.,0,negative
"Spazzing bartender started a shouting match with some friends of mine. If you like the smell of sewage over cigarette smoke, then this place is for you.",0,negative
Great place to get your smog check done. I was there during lunch time. From start to finish it took 10 min. There is a coupon online from their website. Make sure you present the coupon before the smog or they may not honor it. Professional staff as well. I will go back there from now on.,1,positive
Horrible service and hookahs took 40 mins to bring out ! What type of lounge operates like this,0,negative
They leave the roll up door between the bar and the smoking patio wide open so you can enjoy the cigarette smoke while you eat.,0,negative
I have eaten here for years and it is usually pretty good.  But it it smokey as fuck.  They need to get their hood fixed or upgraded for the health of their employees and patrons.  Surprised it would be up to code in its current state.,0,negative
"I can't even guys, I mean really.  There were people huddled around the front door smoking.  The service was slow, they give these thin little slices of bread when you pay for extra bread and get a COLD lil tiny slice.",0,negative
Always people smoking right by front door.  Avoid this Starbucks!,0,negative
"Was not impressed by their limited flavors, tobacco was to hoarse, made everyone cough. Needs to be decorated, very plain, but nice staff",0,negative
They added a 250 smoking charge when I don't even smoke.,0,negative
the beer and food are good but the fact that this place allows smoking period is completely unacceptable.,0,negative
It smells like cigarettes. If I didn't know better I'd think I was at the Four Queens.,0,negative
I have eaten here for years and it is usually pretty good.  But it it smokey as fuck.  They need to get their hood fixed or upgraded for the health of their employees and patrons.  Surprised it would be up to code in its current state.,0,negative
"I have generally had good experiences with clean air cab- on time, easy to book... I also like that the fleet is consistent (Prius, not random personal cars). But my cab this morning wreaked so badly of cigarettes, I could literally smell it as I was approaching the cab. Now I smell of cigarettes as I am about to get on my plane. Feels a bit ironic- \""""keeping the air clean while suffocating its passengers with the smell of cigarettes.\""""",0,negative
"this place sucks! everywhere you go has the smell of cigarette smoke, even in your room! the ceiling was leaking water, ventilation was crap, floors in the room were stained and nasty, and it's a damn maze just to find your room.",0,negative
Not impressed with the hallways that wreak of cigs... And it comes through the vents when the cooling system is on. Otherwise it could have been okay. I hate second hand establishments... Free cancer is on the free breakfast menu I guess.,0,negative
"I I ordered charcoal cabin filters but when the parts arrived, 2 boxes looked like they went through the trenches.  When I opened them, no more like they just fell out the boxes, they were NOT charcoal activated filters  I wrote them and waited 2 weeks, did not hear from them.  I won't be buying from them again!",0,negative
TOO MUCH SMOKE IN THE POKER ROOM....Poker room is too small and lame.  There is too much smoke drifting in from the slot area,0,negative
"Stayed here four times over five years. Each time it got worse. Was assigned a smoking room when we specifically asked for nonsmoking. They had a convention and said no other rooms were available. The room stank of smoke, was filfthy dirty with cigarette burns on the furniture, drapes and bedspread.  There were no toiletries. Asked front desk for housekeeping and they never came even after two requests.\nStay away!",0,negative
"I love Caesar's Palace and the Forum Shops. I always stay here when i'm in Vegas, but I am still waiting for them to ban smoking indoors. It's ridiculous that in 2014 you can still smoke indoors. I hate that when I come to EVERY casino I smell like a dirty ashtray and my sinuses swell and I feel like shit. Seriously, why people???? Ban smoking and you get 5*!",0,negative
hookah was always harsh the moment it was brought to our table. didn't have a good time here. the place seems to advertise that they specialize in hookah but it only looks like a side feature.,0,negative
If you hate the smell of cigarette and incense don't stay here. WiFi is not free ($11.99) at all as advertised.  The room keys does'n't work most of the time and I had mine replaced twice today. It is really  frustrating and I will never stay here again.\nOnly nice thing to say about this place is the workers are nice and helpful but otherwise go somewhere else if you are concern about your health.,0,negative
I gave up on Carolina Asthma and Allergy.,0,negative
this place is sooooo smoky! i almost had to cancel my stay after arriving here lol,0,negative
Cant smoke cigars on patio but can smoke cigarettes.  Makes loads of sense.  Wont be back.,0,negative
"It is very, very smoky in here. Extremely poor ventilation. The smell stuck to me for hours and we only stopped in for 10 minutes to pick someone up.",0,negative
The food might be good here but I couldn't have stayed to eat anything. The place was so smokey I had to leave. I was surprised an establishment in the city was allowing smoking. I thought there was an ordanance about that?,0,negative
"Reserved a non smoking room, was given a \""""smoking optional\"""" room.  The smell is horrible.  I expected a little nicer room given how fancy this hotel appears but there are cigarette burns everywhere, even in the bathtub.  I've never stayed in a hotel room that didn't provide a coffee maker. The bathroom is nice-the mirrors are quite kind. The beds are comfy.",0,negative
Reserved a non-smoking room and they could not accommodate when I checked in. I will never come back.,0,negative
Yet again another smoke filled disappointment thanks yelp for the recommendation! I prefer not to smell smoke as I eat or do anything in my life.,0,negative
"if you are a non smoker you will not want to be on the bottom floor, they smoke right outside the door on the patio with the door open, the staff & smoker patrons will not let you keep the door closed & if you try  you will be verbally assaulted. You are forced to breathe their carcinogens. . The staff is very unfriendly they act like they hate their jobs even when you tip well..",0,negative
"This place, mainly \""""Mark\"""", including some of the senior staff, are really rude and snoby. For smog check go to the place across from the police station on rainbow and windmill. They have a really good attitude there and don't keep you waiting!",0,negative
"This place is pretty trashy, I'd rather smoke my hookah at home.",0,negative
"Requires you the purchase everything from drinks, and extra fees for people who aren't even smoking. Seriously? This place I do not recommend at all. Try a different hookah place.",0,negative
Attempted yesterday evening. . This is a smokers paradise.  There is no way for a non smoker to escape. . This appeared to be an all outdoor patio experience.  The bar is the centerpiece with tables in the surrounding perimeter.  Most people at the bar were smoking and one table. Called my friends that were on the way and changed plans. .,0,negative
Maybe the employees shouldn't use the main entrance as their smoking area. Was disgusting having to walk through the 2nd hand smoke of 5 employees right outside the main entrance. \nKosher deli is nice.,0,negative
"I I ordered charcoal cabin filters but when the parts arrived, 2 boxes looked like they went through the trenches.  When I opened them, no more like they just fell out the boxes, they were NOT charcoal activated filters  I wrote them and waited 2 weeks, did not hear from them.  I won't be buying from them again!",0,negative
"Spazzing bartender started a shouting match with some friends of mine. If you like the smell of sewage over cigarette smoke, then this place is for you.",0,negative
"Why So smoky? It's like cheech and fucking chongs house in here. Visible plumes of smoke bellowing from ac vents directly above the line of people. Pregnant women and their children inhaling the noxious fumes. Not to mention subjecting your employees to that for hours at a time. \n\nTurkey sandwich, flavorless. Something is wrong here.. I'm completely stoned and it still tastes bland. The smoked mtn dew was good.",0,negative
Reserved a non-smoking room and they could not accommodate when I checked in. I will never come back.,0,negative
What's the point of reserving a non smoking room when you only have smoking rooms available?  I can't breathe!!!!!  This is disgusting!!!!!,0,negative
Reserved a non-smoking room and they could not accommodate when I checked in. I will never come back.,0,negative
"I have read many, many reviews about SMOKE and finally had the chance to go.  Simply amazing.  Flavors of nearly all tacos (a group of us shared six) were extraordinary.  Mac & cheese as a side for tacos?  Hell yeah - creamy and delicious with a nice sharp bite at the end.  Waitress was excellent as well.\n\nAs you already know from other reviews:  cash only and BYOB.\n\nWith so many good things to say, we were astounded to be the only patrons much of the visit.  (4:30-5:45 on a Sunday).  WHERE ARE YOU PEOPLE?",1,positive
I was at the joker last night with a good friend of mine.  \nWhen we came in no body said hello so we took a sit.  \nWe waited for 10-15 min for attention. \nThe hookah didn't last long and didn't have a lot of flavor or smoke.  \nWe usually go to a deferent hookah lounge but we were around there so we wanted to try this place.  We didn't like it as we'll because it is sooo loud.,0,negative
"Tax free smokes!! yeah I'm a picker,and I'm a Grinner, I'm a lover and I'm a sinner . . . Playin' my music in the sun.!!!  \n\nblah blah blah . . . Tax free Cancer stixx . . . . . . . they ain't without me when I'm doin' my TriXX . . . .uhu!",1,positive
We went in for the steak and shrimp advertisement that was posted outside but it was so smoky we couldn't even go in and stay. We went upstairs to the buffet it looked ok not very many selections though so after dealing with the smoke and the not so plentiful Buffet we decided to take off,0,negative
"If you don't smoke, don't stay here. One of the smokiest casinos if been in. What happened to the LV clean air act? When the A/C comes on in the room you can still get a strong whiff of smoke coming up from the casino. You won't find me coming back again.",0,negative
too much smokers. we smell like a homeless person when we left. our eyes were red and i cough most of the time,0,negative
I was at the joker last night with a good friend of mine.  \nWhen we came in no body said hello so we took a sit.  \nWe waited for 10-15 min for attention. \nThe hookah didn't last long and didn't have a lot of flavor or smoke.  \nWe usually go to a deferent hookah lounge but we were around there so we wanted to try this place.  We didn't like it as we'll because it is sooo loud.,0,negative
"Stayed here four times over five years. Each time it got worse. Was assigned a smoking room when we specifically asked for nonsmoking. They had a convention and said no other rooms were available. The room stank of smoke, was filfthy dirty with cigarette burns on the furniture, drapes and bedspread.  There were no toiletries. Asked front desk for housekeeping and they never came even after two requests.\nStay away!",0,negative
"Why are there kids bicycles outside the smoke shops? If you walk inside you'll notice pipes and bongs everywhere...is this what we need in our neighborhoods? We should put smoke shops, pawn shops, check cashing stores, title loan places away from residential areas.  These smoke shops are all Indian people from the Mideast...are these guys the experts or what????? Lol",0,negative
"This was my third time staying at TI. The first two times were great, this last time not so much. Other casinos do a better job managing the smell of cigarettes. What really bothered me was the lack of AC in my room the first two nights. I was finally moved to a room with functional AC on the third night after repeated complaining. Too many hotels in Vegas to have to put up with this again.",0,negative
Very rude front desk clerk. Have a smoking room when I requested a non smoking room. Will not be coming back to this one.,0,negative
"....Sorry the offensive smoke in the casino intolerable...is there something wrong with your ventilation system....and that damned computerized everything in the room....I know you wish you didn't have it, but it's too late, you'r stuck with it....when I pushed the wrong button all the lights in the unit went out...including in the bathroom where my wife was just getting out of the bathtub...that iced it for me...checked out...",0,negative
"not a place for nonsmokers. the minute you walk in to check in, the nasty cigarette smell linger all over you. we were having a hard time breathing, our eyes turn red and smell like a smoker.  anywhere you want to go, you have to pass the nasty smoker smell. don't bring your kids here.",0,negative
There was cigarette smoke coming out of the ventilation system in my non-smoking room the entire stay.  Gross!  Don't stay here.,0,negative
"Requires you the purchase everything from drinks, and extra fees for people who aren't even smoking. Seriously? This place I do not recommend at all. Try a different hookah place.",0,negative
"Vehicles stink because they allow customers to smoke in them! Unless you enjoy the smell of cigarette smoke, pick a different company.",0,negative
"Technically.... you are NOT allowed to smoke in this section, because when you leave the forum shops, it says \""""Thank you for not smoking\"""" or something like that. 4 stars for the old school-ness of the forum shops.. and the totally AWESOME statue show.",1,positive
My husband and I truly are lovers of this brand however I think it is a flawed process. The drive thru line on any given day is 10-20 minutes which seems very long to me for what should be a faster experience than say walking in grabbing a table and sitting to enjoy your coffee. The employees are very friendly and the coffee is amazing. Just steer clear of the drive thru if you are in a hurry.,0,negative
These must be the most miserable employees at any Starbucks I've ever been to. Not friendly at all. Customer service? Seriously lacking. So why do I come here? Desperation or if I didn't have time to make it to a Starbucks before work. And the coffee is good. At least they get that right.,0,negative
"This is by far the best Starbucks I've been to in Vegas customer service wise. I've never had a problem with any of my orders and believe me I stop by often since it is so close to work. The baristas are super friendly and as difficult I am on my drinks (add this, extra this....) they never seem to complain or miss a beat. I love the fact that they always repeat the order to make sure it is correct.",1,positive
"Boo!!! I LOVE Starbucks! But they were not nice here! I may be spoiled by my awesome Starbucks employees! But still, come on, you work for Starbucks! Smile be nice!",0,negative
"I've somehow had a better experience when this place was called Caff\u00e8 della Via. I went there a few times and both the coffee and service where good.\n\nI've been back twice since the name changed, and somehow got a very unfriendly service on both occasion. The girl who works there almost makes you feel like you're the one who should be serving her, and has a very annoying spoiled brat attitude.\n\nTo me, that's enough to go buy a not-out-of-this-world coffee somewhere else.",0,negative
good prompt service and the baristas know what they're doing here.,1,positive
"The waiting time was unexceptionally long, I was the only person in line and it took them 12 minutes to give me a Cappuccino and Green Tea Frappuccino.\n\nThe Frappuccino had too many squirt of vanilla syrup in it, so it tasted no where near green tea but instead like vanilla.\n\nThe barista was also very clumsy, she spilled juices and ice cubes all over the counter and took more time wiping them off than actually preparing my drinks.\n\nI don't recommend this place, as there are 7 other Starbucks within a radius of 500m.",0,negative
My favorite Starbucks. Lots of regulars. Good service. Sometimes have to wait a little but pretty good overall. Pretty consistent with the taste of drinks.,1,positive
"Not my favorite Starbucks, poor customer service and they would only give us one gift card even though we bought two k-cup packs. Will go to the Safeway location next time.",0,negative
This place is horrible. Donuts are always stale. Coffee always tastes burned. Staff is rude. I never have a good experience here. Worst dunkin donuts I have ever been to.,0,negative
So the coffee is good but the staff is incredibly loud and screaming does not make for a relaxing atmosphere at all.,0,negative
Slow.......so slow.....and I'm so fed up with not being able to use my rewards. You are either a Starbucks or you are not!,0,negative
"This is one of the nicest Starbucks locations I have ever gone to. They have a great layout with plenty of room while in line or sitting (in and outdoor seating), and the store was spotless. I will definitely be coming back!",1,positive
Its in a good location for a quick pick me up. But its pricier than other Starbucks.,1,positive
Great friendly Starbucks. If you don't work in the building I am not sure why you would come but it is worth a stop. A great pick me up. The staff is friendly and professional. The drinks are well made too.,1,positive
"Don't go to this Starbucks unless you want your drink to taste like booty and your bagel to crack your teeth. I work around the corner and would much rather drive to Sahara and Decatur because I am just so sick of them constantly giving me old food and bitter coffee. Literally worst location in Vegas, it made me so upset today that I signed up on yelp just to write this review. So annoying. And the customer service sucks!",0,negative
"Eww I will never go late night here for coffee. I was even scared to use the bathroom here. There are people hanging outside of the coffee house in the late night which makes it look ghetto. The inside is gross too, I would def get my late night coffee here to go. On the plus side this place is open later than starbucks.",0,negative
This is the slowest Starbucks ever... I hate it !!!!!,0,negative
"The food was great, so was the coffee. But the service.. Eh. Every time I walk in there I kind of feel unwanted. As if the workers would appreciate if there were no customers. That's not good for business! We pay you, ladies.",0,negative
"Worst Starbucks staff hands down. Waited 15 minutes for a drip coffee while staff stood around, laughed and chatted. When I asked if the coffee was ready, I was told, \""""you need to wait\"""". This is uncharacteristic of Starbucks and I'm surprised to have this bad an experience.",0,negative
Not the best Starbucks experience I've ever had.   Messy and slow.,0,negative
The location of this Starbucks makes it ideal for a lot of business meetings which also means that it is always crowded.  The drive-thru is always long and parking is limited. The staff is friendly though and I have never been disappointed with my order.,1,positive
"The store is very clean, and the staff is friendly. But this is the slowest moving Starbucks I have ever been to. Elect to wait around for at least 10 minutes with little to no line.",0,negative
"Worst service I've ever encountered in a chain coffee company store. Usually I love CBTL, but their employees are unfocused and immature. These guys get my order wrong every time. They've yelled at me from across the room \""""hey, burrito\"""" at me, which feels rude, am I right? I've heard an employee's sexcapades. Not cute. It will be awhile before I return to this location, which is a shame since it's so close to me.",0,negative
"This Starbucks never has gotten anything correct, not to mention you usually have to hunt them down. There's never anyone over there and you always have to wait for them to come over.",0,negative
"Just like any other Starbucks, great drinks and great atmosphere. But the staff is excellent here. Cathy and Alexa were so helpful and went out of their way to give us great service. Refreshing smiles, even during the slow hours!",1,positive
"My Girl and I have been going to this Starbucks location the last few mornings, I have also been here many times myself and I have to say the staff is great. One man especially stands out and always seems to know many people's names even their children's names. \n\nAs with any Starbucks the coffee is good and the flavors are all same being that it's a chain, but this location is nice with outside seating, and plenty of seating inside.\n\nIf you are in the area, try it.",1,positive
"Not the best Starbucks by any stretch. Used to have only three parking spots, which have since been increased to maybe 8. Service is always lacking, both ordering and making drinks. Wouldn't go unless I had a free drink on my card and was dying of thirst at the very moment.",0,negative
"This is not the closest Starbucks to me, but it's the closest one with a drive-through... and sometimes I'm just that lazy!  The people working the window have always seemed really happy to see me? or to be working?  or what, I don't know, but it at least makes for a pleasant experience in the 2 minutes it takes to pay and grab my cup.",1,positive
"Not a fan. I went into this coffee shop for a simple cup of coffee. I've had better coffee brewed at a convenience store. \n\nI saw an advertisement for all you can eat waffles, that could be this establishments saving grace.",0,negative
This place is hit or miss. On occasion I'll get served by a really good barista. Great personality. Super friendly. And very helpful. Every other time I've ever been here I get the grumpy barista. The one who wants to charge for everything. Like an EXTRA CINNAMON charge! Baristas like that make me change my mind after I ordered my drink for being bitchy because I wasn't fast enough with my response in how many espresso shots I wanted. I just think a majority of the females that work here suck at their job.,0,negative
Starbucks is just disgusting coffee in general wherever you go. One time I ordered an iced mocha and it ended up being some watered down coffee with a bunch of chocolate syrup floating at the bottom. Idk about you but that's disgusting. They always put way too much ice in the coffee too even after I ask them not to as well. Overall do yourself the favor and just stay away from Starbucks coffee. Local places are usually a lot better.,0,negative
"Located in the back of the casino floor (right side) is this Starbucks.  The staff are friendly and helpful.  My husband and I got our coffee fix here and it was perfect!\n\nNext time I come to Luxor, I will come here for sure!",1,positive
"This is what you would expect from an airport Starbucks. If you have time and are waiting for boarding I'd say it might be worth waiting in line. They definitely were understaffed for the crazy morning crowed. We probably waited almost half an hour and at the end I didn't get what I had actually asked for. I definitely have experienced better, and hence the 2 stars.",0,negative
"This is the worst Starbucks I have ever gone to. They finally got rid of the disgusting couches that were a hang out spot for homeless people, but there is still a seedy crowd that hangs out around the store. The tables are always dirty, there are crumbs and litter all over the floor, the bathroom was gross.... I wish it was enjoyable, because the location would be great for studying. I didn't notice it being any quicker than any other Starbucks. I avoid this store from now on.",0,negative
"If there was ever a \""""get your coffee and go\"""" Starbucks, this is it. Right in the center of the Waterfront, this Starbucks has no sofa, comfy chairs, only table seating. I love the baristas here, But I don't like the location of the building.",0,negative
Awkward vibe! Not to friendly customer service either. I waited 10 minutes for just a regular coffee. It's like all the staff had no communication. Food is pretty good.,0,negative
"I frequent many a Starbucks and this one is by far how Howard Schultz intended. The staff is always nice, friendly, accommodating and really happy.  They care about what they are serving and always go above and beyond.",1,positive
"Sigh. I really hate it that I like Starbucks coffee better than the local guys, but in most cases it's true. Still looking for my perfect latte in Madison at a mom & pop shop. Definitely didn't find it at Espresso Royale. My latte tasted like it was made with kerosene instead of espresso.\n\nThe staff were friendly and the ambiance was fine, but if I've gotta buy something to get the free wifi, I want it to go down easy.",0,negative
"Of all the Starbucks I have ever been to...this is one of them.  Clean, standard friendly staff, good drinks.\n\nNot much else to say, if you like Starbucks, this is right up your alley!",1,positive
"I've been here only a few times and the staff was really rude all of the times. Today they crossed the line when they refused to refill my drink with the rewards program. They did not offer to make it right and handled the situation very unprofessionally.\n\nIf you are in the area, make sure to go to the Starbucks in Rock Hill, just down the I-77 instead of this hole.",0,negative
"There is nothing outstanding from this Starbucks that differentiates it from another great Starbucks. Drive-Thru is speedy, the Barista are friendly, and the beverages are up to Starbucks standards. \n\nInside is moderately sized, and any time I've been in here - the environment has been realitvely quiet. I just wish maybe the music wasn't so loud, but that's easily remedied by headphones!",1,positive
"The staff is always friendly at this Starbucks and they have always been super professional and helpful even when I do not know exactly what I want to order.  Most importantly to me, this has been a nice location to meet my buddies in the morning and grab an early coffee.  Of course once 7am rolls around, I head on down to New York Flavor a few units away as they have more of a breakfast menu and I think a tastier brew of coffee.  But sometimes I cannot wait until 7, so Starbucks it is.",1,positive
"maybe the pastries are good but the service is shit, the coffee sucks and the service is shit. and its in the middle of nowhere.",0,negative
"Oh how far the mighty fall.\n\nWhile the hip factor on this place has gone up and down over the years, at least they had semi-decent coffee. I went there today, and now even that's dead. It tasted like pencil shavings. And not those yummy, creamy pencil shavings either. They were the kinds you get from a pencil. Steeped in boiling water.\n\nIt's no wonder the place is usually abandoned. Well, that and all of the Starbuck's in every corner of the Earth...",0,negative
This Starbucks is amazing because the baristas are always hustling! They are personable and always willing to do what is right! They fill orders with a quickness too! Libby and Keven are always willing to chat with me during my nightly stop. Their smiles can make anyone happy! I was disappointed when I moved to first shift and knew I wouldn't see them anymore.,1,positive
If you  want the slowest service when 2 people Are making drinks  then for Shure come here.... This is why old people shouldn't work at Starbucks,0,negative
"Place has no outlets what kind of coffee shop is this ?!? 99 cent coffee and tea any size 3 to 6 pm! Yay!! I got Carmel mocha swirl and mocha almond yum! And 5 donuts minis for a dollar otherwise I would just say dd is awesome! Friendly staff tho! Free refills on coffee, clean bathroom. Great customer service. -1 for no outlets tho! but the manger is so nice!!! she remembers you and is super friendly great awesome customer service!!!",1,positive
"This is the worst Starbucks of all time. Drinks are always bad -- or completely wrong. Slow service. Disgusting bathrooms. Annoying baristas. \n\nI only go here if I'm desperate for caffeine, in a rush, and don't have time to walk to Royal...",0,negative
The worst Starbucks I've ever been to and it's too bad it's the closest to my home. You can count on your drink leaking ALL over the place and a cup full of ice. I watched the cup being halfway filled with coffee then a GIANT scoop of ice overflowing the top of my drink then they squeezed the lid on my cup with all the coffee coming out of the top and leaking all over the side of my cup. Not good.,0,negative
"This is one of my favorite Starbucks locations. They are super friendly, get your drink order right the first time, and they're fast!",1,positive
"Coffee and atmosphere are great... but my God, the cupcakes are the worst EVER!!!  There is a bakery right beside them; they should really consider selling the bakery's sweets or none at all.  I think a fake/display cupcake would have been fresher... and maybe even taste better.  Yes, it was that bad!  Mr. Manager... try your stuff before you sell it!",0,negative
"Not a big Starbucks fan, don't go often, but usually have friendly staff. This was an exception. The young man that was making the beverages was grumpy at best both with me and the other young man working. The drinks were fine but not used to this type of attitude.",0,negative
"Positively the snobbiest Starbucks I've ever been to. Get over yourselves and crack a smile, for goodness sake!",0,negative
"Went through the drive through the other night because I had a free drink reward on my gold card that was about to expire. The service was very fast and friendly, and more importantly my coffee order was very good. I love Starbucks, it's definitely going to be nice living within 5 minutes of this one.. For whatever reason I can't make a decent frappuccino at home..",1,positive
"I love Starbucks and I love my coffee but this one sucked. The customer service was awful. The girl that took our order was horrible, she didn't smile once and had an attitude. Nobody looked happy. Im used to Starbucks employees being more welcoming and friendly. What a depressing place. Im surprised its got good ratings. Maybe it was an off day, who knows.",0,negative
"I may be friendly but I will probably never be Dutch Brothers Friendly. Evertime I go to this location everyone is always super nice, my coffee is always delicious, and I some how always get sucked into an awesome conversation with the workers. I'll choose Dutch Brothers over any coffee anyday!",1,positive
Too expensive! Casino owned (Harrahs). Double the price of a regular corporate owned Starbucks.,0,negative
I like dunkin'  but the service sucks ..  The cashier was rude but I would be too if I had that job. \n\n\n\n\nShe messed up on our order didn't go back to change it because it would've been a waste of time she probably would've messed up on that as well. \n\nJust left dunkin' 20min ago!,0,negative
"I refuse to purchase Starbucks! They have terrible, bitter, and burnt tasting coffee. Dutch Bros is fast, friendly, and has more variety with Soy and Coconut Milk for alternatives! The coffee is way better and the people make you leave with a smile!",1,positive
This is by far the WORST Starbucks that I kno of... I've never sat in a line so long before just got a coffee.... I was in line for over 20 mins a few times and they never say thanks for waiting how may I take your order they just go straight into ordering.. So I said when I approached the window what's the hold up...?? And the guy said well we only have three people working..... If it's busy then just hire more people you kno???? My gosh it's horrible horrible horrible.....,0,negative
